,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Units,,,Sales $,,,Wgt %,,,Weighted GM %,,,,Channel Mix:,Units,% Mix,,,,,,,,,,,
,Customer / Channel,Servings,Count,(MSRP) $ / svg,(MSRP) $ / Cap,MSRP,Wholesale,Trade %,Net Sales,COGS,GM $,GM %,Year 1,Year 2,Year 3,Year 1,Year 2,Year 3,Year 1,Year 2,Year 3,Year 1,Year 2,Year 3,,Practitioner," 7,125 ",95% ,,,,,,,,,,,
,Emerson / Fullscript,,,-- ,-- ,$18.75 ,-- ,-- ,$18.75 ,$7.61 ,$11.14 ,59.4% ," 4,800 "," 8,000 "," 9,600 ","$89,982 ","$149,970 ","$179,964 ",64%,64%,64%,65% ,65% ,65% ,,Consumer, 375 ,5% ,,,,,,,,,,,
,Amazon,0 Days,0,-- ,-- ,$29.49 ,-- ,-- ,$29.49 ,$7.61 ,$21.88 ,74.2% , 750 ," 1,250 "," 1,500 ","$22,121 ","$36,868 ","$44,241 ",10%,10%,10%,,,,,International, -   ,-- ,,,,,,,,,,,
MSRP,DTC,0 Days,0,-- ,-- ,$49.99 ,-- ,5% ,$47.49 ,$7.61 ,$39.88 ,84.0% , 825 ," 1,375 "," 1,650 ","$39,180 ","$65,299 ","$78,359 ",11%,11%,11%,,,,,," 7,500 ",,,,,,,,,,,,
,iHerb,0 Days,0,-- ,-- ,$27.49 ,-- ,5% ,$26.12 ,$7.61 ,$18.51 ,70.9% , 375 , 625 , 750 ,"$9,795 ","$16,325 ","$19,590 ",5%,5%,5%,,,,,,,,,,,,,,,,,,
WSP,Domestic Wholesaler,0 Days,0,-- ,-- ,$25.00 ,-- ,-- ,$25.00 ,$7.61 ,$17.38 ,69.6% , 375 , 625 , 750 ,"$9,373 ","$15,622 ","$18,746 ",5%,5%,5%,,,,,,,,,,,,,,,,,,
,Domestic Distributor,0 Days,0,-- ,-- ,$25.00 ,-- ,-- ,$23.75 ,$7.61 ,$16.13 ,67.9% , 375 , 625 , 750 ,"$8,904 ","$14,841 ","$17,809 ",5%,5%,5%,,,,,,,,,,,,,,,,,,
,Domestic eTailer,0 Days,0,-- ,-- ,$25.00 ,-- ,-- ,$23.75 ,$7.61 ,$16.13 ,67.9% , -   , -   , -   ,-- ,-- ,-- ,0%,0%,0%,,,,,,,,,,,,,,,,,,
,International Wholesaler,0 Days,0,-- ,-- ,$25.00 ,-- ,-- ,$25.00 ,$7.61 ,$17.38 ,69.6% , -   , -   , -   ,-- ,-- ,-- ,0%,0%,0%,,,,,,,,,,,,,,,,,,
,International Distributor,0 Days,0,-- ,-- ,$25.00 ,-- ,-- ,$25.00 ,$7.61 ,$17.38 ,69.6% , -   , -   , -   ,-- ,-- ,-- ,0%,0%,0%,,,,,,,,,,,,,,,,,,
,International eTailer,0 Days,0,-- ,-- ,$25.00 ,-- ,-- ,$25.00 ,$7.61 ,$17.38 ,69.6% , -   , -   , -   ,-- ,-- ,-- ,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,-- ,-- ,,,,,,,," 7,500 "," 12,500 "," 15,000 ","$179,355 ","$298,925 ","$358,709 ",,,,,,,,,,,,,,,,,,,,,
,Note: Volumes reflect an annualized estimate.,,,,,,,,,,,,,67%,20%,,67%,20%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Adjustments,Customer / Channel,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,,
64%,Emerson / Fullscript, 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 667 , 667 , 667 , 667 , 667 , 667 , 667 , 667 , 667 , 667 , 667 , 667 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 ,,
10%,Amazon, 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 125 , 125 , 125 , 125 , 125 , 125 , 125 , 125 , 125 , 125 , 125 , 125 ,,
11%,DTC, 69 , 69 , 69 , 69 , 69 , 69 , 69 , 69 , 69 , 69 , 69 , 69 , 115 , 115 , 115 , 115 , 115 , 115 , 115 , 115 , 115 , 115 , 115 , 115 , 138 , 138 , 138 , 138 , 138 , 138 , 138 , 138 , 138 , 138 , 138 , 138 ,,
5%,iHerb, 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 ,,
5%,Domestic Wholesaler, 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 ,,
5%,Domestic Distributor, 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 ,,
